id,created_at,updated_at,course_id,place_id,user_id
486,2023-11-29 09:58:18.719497,2023-11-29 09:58:18.719529,,862,20
487,2023-11-29 09:58:19.066174,2023-11-29 09:58:19.066205,,695,36
488,2023-11-29 09:58:23.839658,2023-11-29 09:58:23.839690,,929,20
489,2023-11-29 09:58:25.649953,2023-11-29 09:58:25.649985,,913,20
490,2023-11-29 09:58:27.555465,2023-11-29 09:58:27.555498,,931,20
491,2023-11-29 09:58:27.921713,2023-11-29 09:58:27.921745,,1722,32
492,2023-11-29 09:58:29.730662,2023-11-29 09:58:29.730695,,672,35
493,2023-11-29 09:58:35.670716,2023-11-29 09:58:35.670764,,968,20
494,2023-11-29 09:58:54.684367,2023-11-29 09:58:54.684399,,1625,32
495,2023-11-29 09:59:00.823128,2023-11-29 09:59:00.823158,,1422,20
496,2023-11-29 09:59:12.171371,2023-11-29 09:59:12.171404,,1896,32
497,2023-11-29 09:59:12.486482,2023-11-29 09:59:12.486512,,1344,35
498,2023-11-29 09:59:19.119967,2023-11-29 09:59:19.119999,,1610,20
499,2023-11-29 09:59:29.587502,2023-11-29 09:59:29.587533,,1766,35
500,2023-11-29 09:59:31.542715,2023-11-29 09:59:31.542747,,1798,20
501,2023-11-29 09:59:34.178071,2023-11-29 09:59:34.178102,,41,30
502,2023-11-29 09:59:36.823946,2023-11-29 09:59:36.823978,,1862,20
503,2023-11-29 09:59:39.529797,2023-11-29 09:59:39.529829,,1865,20
504,2023-11-29 09:59:44.071503,2023-11-29 09:59:44.071535,,1841,35
505,2023-11-29 09:59:45.703167,2023-11-29 09:59:45.703197,,631,39
506,2023-11-29 09:59:48.647198,2023-11-29 09:59:48.647227,,633,39
507,2023-11-29 09:59:49.641431,2023-11-29 09:59:49.641463,,1861,35
508,2023-11-29 09:59:50.711911,2023-11-29 09:59:50.711941,,1660,32
509,2023-11-29 09:59:59.265889,2023-11-29 09:59:59.265922,,1597,32
510,2023-11-29 10:00:09.726757,2023-11-29 10:00:09.726788,,234,39
511,2023-11-29 10:00:12.230927,2023-11-29 10:00:12.230957,,207,39
512,2023-11-29 10:00:16.713946,2023-11-29 10:00:16.713977,,1853,32
513,2023-11-29 10:00:19.272109,2023-11-29 10:00:19.272140,,1055,39
514,2023-11-29 10:00:20.271634,2023-11-29 10:00:20.271665,,1297,39
515,2023-11-29 10:00:21.050536,2023-11-29 10:00:21.050566,,1341,39
516,2023-11-29 10:00:29.231795,2023-11-29 10:00:29.231832,,1846,39
517,2023-11-29 10:00:30.040871,2023-11-29 10:00:30.040905,,1844,39
518,2023-11-29 10:00:31.039045,2023-11-29 10:00:31.039076,,1821,39
519,2023-11-29 10:00:38.456019,2023-11-29 10:00:38.456049,,213,39
520,2023-11-29 10:00:42.308106,2023-11-29 10:00:42.308140,,1170,35
521,2023-11-29 10:00:46.466034,2023-11-29 10:00:46.466064,,672,39
522,2023-11-29 10:00:49.757823,2023-11-29 10:00:49.757855,,670,39
523,2023-11-29 10:00:54.454372,2023-11-29 10:00:54.454405,,936,20
524,2023-11-29 10:00:54.791414,2023-11-29 10:00:54.791443,,1514,35
525,2023-11-29 10:00:56.087593,2023-11-29 10:00:56.087623,,962,20
526,2023-11-29 10:00:57.197039,2023-11-29 10:00:57.197069,,936,40
527,2023-11-29 10:00:59.255357,2023-11-29 10:00:59.255387,,962,40
529,2023-11-29 10:01:02.715158,2023-11-29 10:01:02.715187,,1640,32
530,2023-11-29 10:01:10.608582,2023-11-29 10:01:10.608615,,1191,20
531,2023-11-29 10:01:22.116265,2023-11-29 10:01:22.116300,,1167,32
532,2023-11-29 10:01:30.059163,2023-11-29 10:01:30.059199,,1034,35
533,2023-11-29 10:01:33.480597,2023-11-29 10:01:33.480628,,935,40
534,2023-11-29 10:01:38.213269,2023-11-29 10:01:38.213301,,1069,40
535,2023-11-29 10:01:42.152635,2023-11-29 10:01:42.152669,,1167,35
536,2023-11-29 10:01:43.575744,2023-11-29 10:01:43.575775,,1185,35
537,2023-11-29 10:01:47.813088,2023-11-29 10:01:47.813124,,1235,35
538,2023-11-29 10:01:59.985478,2023-11-29 10:01:59.985510,,1353,35
539,2023-11-29 10:02:01.283836,2023-11-29 10:02:01.283867,,634,32
540,2023-11-29 10:02:16.663601,2023-11-29 10:02:16.663634,,1593,35
541,2023-11-29 10:02:19.456917,2023-11-29 10:02:19.456949,,1629,35
542,2023-11-29 10:02:29.034164,2023-11-29 10:02:29.034193,,962,35
543,2023-11-29 10:02:41.477946,2023-11-29 10:02:41.477975,,1797,40
544,2023-11-29 10:02:42.173472,2023-11-29 10:02:42.173502,,1625,40
545,2023-11-29 10:02:42.725077,2023-11-29 10:02:42.725105,,1722,40
546,2023-11-29 10:02:51.919893,2023-11-29 10:02:51.919926,,1781,35
547,2023-11-29 10:03:00.524653,2023-11-29 10:03:00.524686,,1707,35
548,2023-11-29 10:03:11.976772,2023-11-29 10:03:11.976805,,936,35
549,2023-11-29 10:03:14.336366,2023-11-29 10:03:14.336398,,993,35
553,2023-11-29 10:03:25.381107,2023-11-29 10:03:25.381140,,381,32
554,2023-11-29 10:03:29.009871,2023-11-29 10:03:29.009901,,1844,41
555,2023-11-29 10:03:29.467654,2023-11-29 10:03:29.467683,,1846,41
556,2023-11-29 10:03:29.970464,2023-11-29 10:03:29.970494,,1494,35
557,2023-11-29 10:03:35.539691,2023-11-29 10:03:35.539721,,1297,41
559,2023-11-29 10:03:42.484015,2023-11-29 10:03:42.484044,,1767,40
560,2023-11-29 10:03:45.066151,2023-11-29 10:03:45.066183,,1746,35
561,2023-11-29 10:03:48.449201,2023-11-29 10:03:48.449230,,1839,41
